RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,TotalTimesLate,IncomePerPerson
1.017.216.892,47,3,0.623937606,10000.0,7,0,1,0,1.0,3,5000.0
0.661947,33,1,0.23024055,3200.0,9,0,0,0,2.0,1,1066.6666666666667
0.840230145,42,0,1420,0.0,7,0,0,0,4.0,0,0.0
108.946.424,34,1,63.05.00,1.0,2,0,0,1,0.0,2,1.0
0.780007029,58,0,0.61121004,11792.0,9,0,2,0,0.0,0,11792.0
0.638872226,50,0,0.172965407,5000.0,7,1,0,0,3.0,1,1250.0
0.144744831,67,0,0.041709755,2900.0,2,0,0,0,0.0,0,2900.0
0,40,0,0.24815037,5000.0,6,0,1,0,0.0,0,5000.0
0.020300569,61,1,0.435828499,21200.0,22,0,5,0,1.0,1,10600.0
0.022794631,56,0,0.378251699,8533.0,7,0,2,0,0.0,0,8533.0
0.169880861,46,0,0.189084575,5166.0,11,0,1,0,2.0,0,1722.0
0.752024798,72,0,0.069018405,3259.0,1,0,0,0,0.0,0,3259.0
0.686482932,31,0,0.097756054,4500.0,4,0,0,0,2.0,0,1500.0
0.024113597,58,0,0.107241063,12000.0,6,0,1,0,0.0,0,12000.0
0.957611824,60,0,0.162964432,15125.0,6,0,0,0,1.0,0,7562.5
0.03240845,54,0,0.446123947,4630.0,12,0,2,0,3.0,0,1157.5
0.027418765,59,0,0.004110654,9000.0,7,0,0,0,0.0,0,9000.0
0.11808974,55,0,0.283643892,11591.0,8,0,2,0,1.0,0,5795.5
0.455457477,30,0,0.311034218,2600.0,13,0,0,0,0.0,0,2600.0
0.907618645,50,1,0.379419654,4100.0,8,0,2,1,0.0,2,4100.0
0.008108943,79,0,14,0.0,10,0,0,0,0.0,0,0.0
0.042872333,45,0,0.221984691,14500.0,7,0,2,0,0.0,0,14500.0
0.538063435,45,0,0.344220265,17941.0,20,0,2,0,3.0,0,4485.25
0.840189434,49,1,2.030.709.899,7000.0,29,0,3,0,1.0,1,3500.0
0.232102515,63,0,0.20933201,7050.0,5,0,2,0,1.0,0,3525.0
0.07648563,63,0,0.134225195,4484.0,7,0,1,0,0.0,0,4484.0
1.069.318.054,31,2,0.512878921,5706.0,7,0,1,0,1.0,2,2853.0
0.590178183,29,0,0.198063105,3200.0,3,2,0,0,0.0,2,3200.0
0,54,0,0.230681386,10507.0,9,0,1,0,3.0,0,2626.75
0.196118287,31,1,0.420141429,4100.0,7,0,0,0,0.0,1,4100.0
0.224517922,65,0,0.341644039,8101.0,20,0,2,0,0.0,0,8101.0
0.269257489,44,0,0.607594937,1500.0,7,0,0,0,3.0,0,375.0
0.014814266,48,0,0.260568261,10100.0,5,0,1,0,2.0,0,3366.6666666666665
0.116334546,48,0,0.084397557,1800.0,11,0,0,0,2.0,0,600.0
0.01239938,67,0,0.145508579,17833.0,10,0,2,0,0.0,0,17833.0
0.319912223,45,0,0.467391304,10763.0,13,0,1,0,2.0,0,3587.6666666666665
0.019216834,48,0,206.970.286,3600.0,7,0,2,0,1.0,0,1800.0
0.67799509,43,0,0.228344439,3901.0,5,0,0,0,1.0,0,1950.5
0.032499654,72,1,0.372625264,9000.0,25,0,3,0,0.0,1,9000.0
0.245918349,33,0,0.214062875,8333.0,9,0,0,0,1.0,0,4166.5
0,68,0,0.162972621,2300.0,6,0,0,0,0.0,0,2300.0
0.001607071,73,0,0.001472483,5432.0,4,0,0,0,0.0,0,5432.0
0.14978871,40,0,0.311961005,8000.0,13,0,2,0,2.0,0,2666.6666666666665
0.778487851,56,0,0.477210501,6208.0,9,0,2,0,0.0,0,6208.0
0.438401776,54,1,0.082788671,917.0,5,0,0,0,0.0,1,917.0
0.283714536,37,0,0.665809769,3500.0,9,0,1,0,0.0,0,3500.0
0.348666283,54,0,0.238993711,8585.0,7,0,2,0,1.0,0,4292.5
0,56,0,0.013525305,2291.0,4,0,0,0,0.0,0,2291.0
0.418637465,49,0,0.188118812,4948.0,7,0,1,0,2.0,0,1649.3333333333333
0.778530537,60,0,1.667.862.069,3624.0,10,0,3,0,0.0,0,3624.0
0.015910938,76,0,0.311965812,6785.0,9,0,1,0,1.0,0,3392.5
0.194652464,43,1,0.826902047,6400.0,21,0,2,0,4.0,1,1280.0
